                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.68245,                0.48524,                0.90923,                0.82742,                0.80803,                0.85665,                0.62838,                0.68983,                0.50779,                0.90364,               0.007624,               0.007624,               0.007624
                     38,                0.67789,                0.47679,                0.91256,                0.80857,                0.85318,                0.87466,                0.63629,                0.69807,                0.50227,                0.90723,               0.007558,               0.007558,               0.007558
                     39,                0.67982,                0.47685,                0.90988,                0.80409,                0.83047,                0.87376,                0.63628,                0.69902,                0.51218,                0.90995,               0.007492,               0.007492,               0.007492
                     40,                0.68458,                0.48219,                 0.9092,                0.84103,                0.80335,                0.86612,                0.63169,                0.67918,                0.50624,                0.89975,               0.007426,               0.007426,               0.007426
                     41,                0.66801,                  0.466,                0.90614,                0.84471,                0.80411,                0.87498,                0.64649,                0.69389,                0.49329,                0.89807,                0.00736,                0.00736,                0.00736
                     42,                0.66639,                0.46456,                 0.9063,                0.83904,                0.82133,                0.88016,                0.64236,                 0.6809,                0.49635,                0.89909,               0.007294,               0.007294,               0.007294
                     43,                0.66635,                0.46006,                 0.9037,                0.81104,                 0.8679,                0.88134,                0.65328,                0.67159,                0.48755,                0.89612,               0.007228,               0.007228,               0.007228
                     44,                0.66341,                0.45986,                 0.9049,                0.85015,                0.84782,                0.89336,                0.66075,                0.68076,                0.49365,                0.89683,               0.007162,               0.007162,               0.007162
                     45,                0.66024,                0.45127,                0.90414,                0.85378,                0.80067,                0.86921,                0.63876,                0.67828,                 0.4931,                0.90128,               0.007096,               0.007096,               0.007096
                     46,                0.65387,                0.44812,                0.90064,                0.82923,                0.86181,                0.87855,                0.64914,                0.66208,                0.48477,                0.89517,                0.00703,                0.00703,                0.00703
                     47,                0.64421,                0.45035,                0.89626,                0.87124,                0.80765,                0.87839,                0.64698,                0.67091,                0.48962,                0.89384,               0.006964,               0.006964,               0.006964
                     48,                0.65613,                0.45212,                0.89888,                0.83397,                0.77773,                0.85252,                0.62204,                0.67772,                0.50628,                0.89193,               0.006898,               0.006898,               0.006898
                     49,                0.65354,                0.44963,                0.90032,                0.84842,                0.80835,                0.87606,                0.64855,                0.66999,                 0.4933,                0.89535,               0.006832,               0.006832,               0.006832
                     50,                 0.6423,                0.44462,                0.89827,                0.85521,                0.81055,                0.87737,                0.64356,                0.67784,                 0.4926,                 0.9004,               0.006766,               0.006766,               0.006766
                     51,                0.64201,                0.44133,                0.89638,                0.81462,                0.83816,                0.87136,                0.63637,                0.67491,                0.48623,                0.90218,                 0.0067,                 0.0067,                 0.0067
                     52,                0.63945,                0.43735,                0.89628,                0.82345,                0.81941,                0.86074,                0.64647,                0.67593,                0.49781,                0.90128,               0.006634,               0.006634,               0.006634
                     53,                0.62942,                0.43091,                0.89164,                0.85801,                0.78643,                0.87127,                0.64043,                0.66868,                0.48253,                0.89492,               0.006568,               0.006568,               0.006568
                     54,                0.64148,                0.43268,                0.89047,                0.86283,                 0.8214,                0.87636,                0.64761,                0.66131,                0.48015,                0.89457,               0.006502,               0.006502,               0.006502
                     55,                0.62244,                0.42406,                0.89395,                0.85873,                0.81715,                0.88397,                0.65124,                0.66953,                0.48227,                0.89266,               0.006436,               0.006436,               0.006436
                     56,                0.63481,                0.42885,                0.89442,                0.84939,                0.83311,                0.87905,                0.64808,                0.66518,                 0.4885,                0.89184,                0.00637,                0.00637,                0.00637
                     57,                0.62333,                  0.421,                0.89197,                0.83924,                0.83589,                0.88973,                0.65664,                0.65969,                0.47588,                0.89579,               0.006304,               0.006304,               0.006304
                     58,                0.63085,                0.42665,                0.89384,                0.84242,                0.86212,                0.88821,                0.65838,                0.66439,                0.48524,                0.89569,               0.006238,               0.006238,               0.006238
                     59,                0.63236,                0.42622,                0.89121,                0.83298,                0.85225,                0.89176,                 0.6662,                0.65637,                0.47928,                0.89115,               0.006172,               0.006172,               0.006172
